[2025-08-26 18:29:47] Row: 7, Product ID: https://www.amazon.com/Step2-Great-Creations-Cente...vlocphy=9004364&hvtargid=pla-523670915209&psc=1, Old Price: 131.99, New Price: 131.99, Status: Success, Message: Price confirmed unchanged: $131.99 (Amazon)
[2025-08-26 18:35:56] Row: 7, Product ID: https://www.amazon.com/Step2-Great-Creations-Cente...vlocphy=9004364&hvtargid=pla-523670915209&psc=1, Old Price: 131.99, New Price: 131.99, Status: Success, Message: Price found: $131.99 (no supplier URL available)
[2025-08-26 18:36:04] Row: 2, Product ID: , Old Price: 0.0, New Price: 0.0, Status: Failed, Message: Price extraction failed: No price data available
[2025-08-26 18:36:10] Row: 5, Product ID: , Old Price: 0.0, New Price: 0.0, Status: Failed, Message: Price extraction failed: No price data available
[2025-08-26 18:36:19] Row: 10, Product ID: , Old Price: 119.99, New Price: 119.99, Status: Success, Message: Price found: $119.99 (no supplier URL available)
[2025-08-26 18:36:25] Row: 11, Product ID: , Old Price: 129.99, New Price: 129.99, Status: Success, Message: Price found: $129.99 (no supplier URL available)
[2025-08-26 18:36:31] Row: 12, Product ID: , Old Price: 129.99, New Price: 129.99, Status: Success, Message: Price found: $129.99 (no supplier URL available)
[2025-08-26 18:36:39] Row: 13, Product ID: , Old Price: 129.99, New Price: 129.99, Status: Success, Message: Price found: $129.99 (no supplier URL available)
[2025-08-26 18:36:47] Row: 14, Product ID: , Old Price: 38.76, New Price: 38.76, Status: Success, Message: Price found: $38.76 (no supplier URL available)
[2025-08-26 18:36:53] Row: 15, Product ID: , Old Price: 38.76, New Price: 38.76, Status: Success, Message: Price found: $38.76 (no supplier URL available)
[2025-08-26 18:37:01] Row: 5, Product ID: , Old Price: 0.0, New Price: 0.0, Status: Failed, Message: Price extraction failed: No price data available
[2025-08-26 18:37:07] Row: 6, Product ID: , Old Price: 0.0, New Price: 0.0, Status: Failed, Message: Price extraction failed: No price data available
[2025-08-26 18:37:13] Row: 7, Product ID: , Old Price: 131.99, New Price: 131.99, Status: Success, Message: Price found: $131.99 (no supplier URL available)
[2025-08-26 18:37:20] Row: 8, Product ID: , Old Price: 119.99, New Price: 119.99, Status: Success, Message: Price found: $119.99 (no supplier URL available)
[2025-08-26 18:38:14] Row: 7, Product ID: , Old Price: 131.99, New Price: 131.99, Status: Success, Message: Price found: $131.99 (no supplier URL available)
[2025-08-26 18:38:24] Row: 2, Product ID: , Old Price: 0.0, New Price: 0.0, Status: Failed, Message: Price extraction failed: No price data available
[2025-08-26 18:38:31] Row: 5, Product ID: , Old Price: 0.0, New Price: 0.0, Status: Failed, Message: Price extraction failed: No price data available
